Date,Account,Category,Subcategory,Note,INR,Income/Expense,Amount,Currency,Month,Day,Hour,Time_Diff
2021-12-09 14:01:00,CUB - online payment,Food,,Lunch with company,280.0,Expense,280.0,INR,12,Thursday,14,-6.033333333333333
2021-12-09 09:56:00,CUB - online payment,Food,,Milk with bharath,25.0,Expense,25.0,INR,12,Thursday,9,-4.083333333333333
2021-12-09 08:47:00,CUB - online payment,Food,,Breakfast with stu,110.0,Expense,110.0,INR,12,Thursday,8,-1.15
2021-12-08 14:15:00,CUB - online payment,Food,,Lunch with stu,100.0,Expense,100.0,INR,12,Wednesday,14,-18.533333333333335
2021-12-08 14:15:00,Cash,Food,,5 star,1120.72,Expense,15.0,USD,12,Wednesday,14,0.0
2021-12-08 07:17:00,CUB - online payment,Food,,Milk,10.0,Expense,10.0,INR,12,Wednesday,7,-6.966666666666667
2021-12-07 09:54:00,CUB - online payment,Food,,Milk with bharath,25.0,Expense,25.0,INR,12,Tuesday,9,-21.383333333333333
2021-12-07 07:59:00,CUB - online payment,Food,,Horlicks,15.0,Expense,15.0,INR,12,Tuesday,7,-1.9166666666666667
2021-12-06 21:59:00,CUB - online payment,Food,,Milk with bharath,25.0,Expense,25.0,INR,12,Monday,21,-10.0
2021-12-06 20:07:00,CUB - online payment,Apparel,,Shoe,500.0,Expense,500.0,INR,12,Monday,20,-1.8666666666666667
2021-12-06 19:57:00,CUB - online payment,Apparel,,Cap,140.0,Expense,140.0,INR,12,Monday,19,-0.16666666666666666
2021-12-06 14:08:00,CUB - online payment,Food,,Lunch with stu,150.0,Expense,150.0,INR,12,Monday,14,-5.816666666666666
2021-12-05 19:45:00,CUB - online payment,Food,,Milk with bharath,25.0,Expense,25.0,INR,12,Sunday,19,-18.383333333333333
2021-12-05 18:41:00,CUB - online payment,Apparel,,Full hand and a hoodie,1800.0,Expense,1800.0,INR,12,Sunday,18,-1.0666666666666667
2021-12-05 12:23:00,CUB - online payment,Household,,Rent,4800.0,Expense,4800.0,INR,12,Sunday,12,-6.3
2021-12-05 12:23:00,CUB - online payment,Allowance,,From dad,8000.0,Income,8000.0,INR,12,Sunday,12,0.0
2021-12-04 21:05:00,CUB - online payment,Food,,Dinner,324.0,Expense,324.0,INR,12,Saturday,21,-15.3
2021-12-04 20:20:00,CUB - online payment,Food,,Snack,65.0,Expense,65.0,INR,12,Saturday,20,-0.75
2021-12-04 13:54:00,CUB - online payment,Other,,For company,30.0,Expense,30.0,INR,12,Saturday,13,-6.433333333333334
2021-12-04 10:13:00,CUB - online payment,Food,,Breakfast,200.0,Expense,200.0,INR,12,Saturday,10,-3.683333333333333
2021-12-03 21:59:00,CUB - online payment,Food,,Milk with bharath,25.0,Expense,25.0,INR,12,Friday,21,-12.233333333333333
2021-12-03 21:59:00,CUB - online payment,Apparel,,Belt,130.0,Expense,130.0,INR,12,Friday,21,0.0
2021-12-03 21:28:00,CUB - online payment,Apparel,,Mask,20.0,Expense,20.0,INR,12,Friday,21,-0.5166666666666667
2021-12-03 21:28:00,CUB - online payment,Food,,Snack,40.0,Expense,40.0,INR,12,Friday,21,0.0
2021-12-03 21:28:00,CUB - online payment,Allowance,,From dad,1000.0,Income,1000.0,INR,12,Friday,21,0.0
